study,condition,original_value,corrected_date
ZA7783,malformed,14-Jun-212,14-6-2021
ZA3640,append_year,,2002
ZA3938,append_year,,2003
ZA3904,append_year,,2003
ZA4056,append_year,,2004
ZA3640,missing,,5-5-2002
ZA4229,missing,,15-10-2004
ZA4530,missing,,1-5-2007
ZA4971,missing,,1-2-2009
ZA5612,missing,,20-5-2012
ZA5685,missing,,10-11-2012
ZA5964,missing,,1-3-2015
ZA6694,missing,,25-5-2016
ZA7848,missing,,1-2-2022
ZA4994,missing,,1-11-2009
ZA5234,missing,,7-5-2010
ZA5449,missing,,11-11-2010
ZA5928,missing,,1-6-2014
ZA5998,missing,,20-5-2015
